Domain,Age,Level of Study,Activity Level,Reputation,Accessibility,Moderation,Gender,Country,Recommended chat rooms,SAMPLE NOTTOINCLUDE,Unnamed: 11,Agriculture,Anthro,Business Analytics,CommunicationTechnology,Data Science,Early childhood,Finance,Unnamed: 19,Writing,Food science,Unnamed: 22,Unnamed: 23,Gender studies,Geology ,Health and Wellness,Hostpiatlity Management,Humanities,Information systems,International Business,International relations,Journalism,Legal  studies,Linguistics,Logistics and supply chain,Management,media and communication,Performing arts,public administration,Public health,social work,Sports science ,visual arts,Unnamed: 44,Unnamed: 45,Unnamed: 46,Domain.1
logistics and supply chain management,21,College,High,3.5,Medium,Fair,Female,US,Performance Measurement and Metrics in Logistics, Performance Measurement and Metrics in Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
social work,29,College,Low,3.5,Medium,Good,Male,UK,Social Epidemiology, Social Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
humanities,18,High School,High,5.0,Medium,Good,Male,India,Postcolonial Studies, Postcolonial Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
finance,29,High School,Low,4.6,Easy,Good,Female,India,Real Estate Finance, Real Estate Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
education,26,College,High,3.7,Medium,Good,Male,Australia,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
sports science,22,College,Medium,3.9,Easy,Fair,Female,US,Biomechanics in Sports, Biomechanics in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
public health,18,High School,High,3.8,Medium,Fair,Male,Canada,Occupational Health and Safety, Occupational Health and Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
media and communication studies,28,High School,Medium,4.4,Easy,Good,Male,Australia,Broadcast Media, Broadcast Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
humanities,25,College,Low,4.9,Medium,Good,Female,US,Media and Communication Studies, Media and Communication Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
management,29,High School,High,4.6,Medium,Fair,Male,UK,Financial Management, Financial Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
health and wellness,22,College,Low,4.3,Easy,Good,Male,Australia,Wellness Program Development, Wellness Program Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
performing arts,19,High School,High,4.4,Medium,Fair,Female,India,Media Research Methods, Media Research Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
humanities,21,High School,High,4.4,Easy,Good,Female,UK,Postcolonial Studies, Postcolonial Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities
finance,29,High School,Low,3.9,Easy,Good,Male,Australia,Financial Accounting, Financial Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
legal studies,25,High School,High,3.9,Easy,Good,Male,Canada,Family Law, Family Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
international business,21,High School,Low,4.4,Easy,Good,Male,Canada,Multinational Operations and Management, Multinational Operations and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
communications technology,19,High School,Low,5.0,Medium,Fair,Male,US,Internet of Things (IoT), Internet of Things (IoT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
health and wellness,22,College,Medium,4.1,Easy,Good,Female,India,Community Health, Community Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
performing arts,29,College,High,4.2,Easy,Fair,Male,US,Media and Society, Media and Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
business analytics,24,High School,Low,3.7,Easy,Fair,Male,UK,Marketing Analytics, Marketing Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
business analytics,22,High School,Low,3.8,Medium,Fair,Female,Australia,Prescriptive Analytics, Prescriptive Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
agriculture,23,High School,High,4.8,Easy,Good,Female,Canada,Agricultural Engineering, Agricultural Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
communications technology,25,High School,Low,4.4,Easy,Fair,Male,US,Social Media and Communication, Social Media and Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
sports science,29,College,Medium,4.7,Medium,Good,Female,UK,Performance Analysis in Sports, Performance Analysis in Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
gender studies,19,High School,High,4.3,Medium,Good,Male,Australia,Gender and Media, Gender and Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
finance,19,High School,Medium,4.2,Easy,Good,Male,Canada,Islamic Finance, Islamic Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
communications technology,24,College,Medium,4.4,Easy,Good,Male,Canada,Network Security, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
finance,25,College,Low,4.8,Easy,Fair,Female,Canada,Financial Management, Financial Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
health and wellness,27,High School,Low,3.6,Easy,Good,Male,UK,Wellness Program Development, Wellness Program Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
business analytics,19,College,Medium,4.0,Medium,Good,Female,Canada,Machine Learning in Business Analytics, Machine Learning in Business Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
business analytics,23,High School,Medium,4.7,Easy,Fair,Male,UK,Text Mining and Natural Language Processing, Text Mining and Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business Analytics
social work,19,College,High,4.0,Easy,Good,Female,India,Social Integration and Health, Social Integration and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
writing,27,High School,Medium,5.0,Easy,Good,Female,India,Expository Writing, Expository Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writing
visual arts,22,College,Medium,4.9,Easy,Good,Female,UK,Digital Art, Digital Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
visual arts,18,High School,Low,3.8,Easy,Good,Male,Australia,Art Exhibitions and Curation, Art Exhibitions and Curation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
performing arts,29,High School,High,4.9,Medium,Fair,Female,UK,Intercultural Communication, Intercultural Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
performing arts,25,High School,High,3.6,Easy,Good,Female,Australia,Broadcast Media, Broadcast Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
management,23,High School,Medium,4.3,Medium,Good,Female,UK,Organizational Behavior, Organizational Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
visual arts,22,High School,Low,3.9,Medium,Good,Male,India,Drawing and Sketching, Drawing and Sketching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
public health,29,High School,Low,4.9,Easy,Good,Female,India,Health Equity and Social Determinants of Health, Health Equity and Social Determinants of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
visual arts,29,College,High,4.3,Medium,Fair,Male,Australia,Typography, Typography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
visual arts,25,High School,Medium,4.5,Easy,Good,Female,UK,Ceramic Art, Ceramic Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
food science,19,College,High,4.1,Medium,Good,Male,UK,Food Safety and Quality Assurance, Food Safety and Quality Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
communications technology,29,College,Low,4.4,Easy,Good,Female,Australia,Human-Computer Interaction, Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
data science,29,High School,High,4.4,Easy,Fair,Female,Canada,Deep Learning, Deep Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
information systems,25,College,Medium,3.9,Medium,Good,Male,Australia,Database Management Systems, Database Management Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
early childhood education,23,College,High,3.6,Easy,Fair,Female,UK,Cognitive Development, Cognitive Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
performing arts,22,College,High,4.3,Medium,Good,Female,India,Mass Communication, Mass Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
information systems,18,College,Low,3.8,Easy,Good,Female,Canada,Data Analytics and Visualization, Data Analytics and Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
journalism,26,College,High,4.9,Medium,Fair,Male,UK,Journalism Ethics and Professional Standards, Journalism Ethics and Professional Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
early childhood education,24,College,Low,4.9,Easy,Fair,Male,India,Outdoor and Nature Exploration, Outdoor and Nature Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
agriculture,22,High School,High,4.2,Easy,Good,Male,US,Food Science and Technology, Food Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
international relations,18,High School,Low,4.8,Easy,Good,Female,India,Environmental Politics and Sustainability, Environmental Politics and Sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
data science,27,College,High,4.8,Medium,Fair,Male,US,Statistical Analysis, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
sports science,27,College,High,3.8,Easy,Good,Male,US,Sports Ethics and Sportsmanship, Sports Ethics and Sportsmanship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
performing arts,25,High School,High,3.9,Easy,Fair,Male,UK,Media Production and Editing, Media Production and Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
logistics and supply chain management,26,High School,Low,3.6,Easy,Fair,Male,UK,Lean and Six Sigma in Supply Chain, Lean and Six Sigma in Supply Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
sports science,25,High School,Low,4.6,Medium,Good,Female,US,Sports Medicine and Injury Prevention, Sports Medicine and Injury Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
early childhood education,25,College,Low,4.3,Medium,Fair,Male,India,Outdoor and Nature Exploration, Outdoor and Nature Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
agriculture,31,High School,Medium,3.9,Medium,Good,Male,Australia,Agricultural Risk Management, Agricultural Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
data science,25,High School,Low,4.9,Medium,Good,Female,Australia,Data Wrangling, Data Wrangling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
public administration,19,High School,Medium,4.0,Easy,Fair,Male,UK,Urban and Regional Planning, Urban and Regional Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
anthropology,24,College,Medium,4.4,Medium,Fair,Female,Australia,Archaeology, Archaeology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
education,18,College,High,4.5,Medium,Good,Male,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
communications technology,26,High School,High,4.2,Easy,Good,Male,India,Information Theory, Information Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
communications technology,29,College,Medium,4.9,Medium,Good,Male,UK,Network Architecture, Network Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
legal studies,18,High School,Low,4.2,Medium,Fair,Female,Australia,Legal Research and Writing, Legal Research and Writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
international relations,22,High School,High,4.6,Medium,Good,Male,Canada,Diplomacy and Negotiation, Diplomacy and Negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
public administration,29,College,Low,3.8,Medium,Good,Male,US,Public Service Delivery and Citizen Engagement, Public Service Delivery and Citizen Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
linguistics,27,High School,Medium,4.2,Easy,Good,Male,UK,Phonetics and Phonology, Phonetics and Phonology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
legal studies,21,High School,High,4.0,Medium,Good,Male,US,Business Law, Business Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
international business,21,High School,Low,4.1,Medium,Good,Female,US,International Business Law and Regulations, International Business Law and Regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
linguistics,21,College,Low,4.3,Medium,Good,Male,US,Contrastive Linguistics, Contrastive Linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
public health,24,High School,High,4.9,Medium,Fair,Female,US,Biostatistics, Biostatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Health
legal studies,19,College,Low,4.9,Medium,Fair,Male,Canada,Human Rights Law, Human Rights Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
agriculture,28,College,High,4.3,Easy,Fair,Male,India,Agricultural Engineering, Agricultural Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
environmental science,19,College,Medium,3.9,Medium,Good,Male,Canada,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
data science,23,High School,Medium,3.5,Easy,Fair,Female,Australia,Data Wrangling, Data Wrangling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
communications technology,27,High School,Low,3.8,Medium,Good,Female,Australia,Telecommunication Systems, Telecommunication Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
linguistics,27,College,Low,4.1,Medium,Good,Male,US,Neurolinguistics, Neurolinguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
public administration,19,High School,Low,4.9,Medium,Good,Female,India,Public Health Administration, Public Health Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Administration
media and communication studies,24,High School,High,4.2,Easy,Fair,Female,India,Mass Communication, Mass Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
gender studies,29,College,Medium,4.4,Medium,Fair,Male,UK,Gender and Media, Gender and Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
food science,29,High School,Medium,3.6,Easy,Good,Female,Canada,Food Allergies and Intolerances, Food Allergies and Intolerances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
media and communication studies,18,College,High,4.3,Medium,Good,Male,Australia,Media Literacy, Media Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Media and Communication Studies
food science,23,College,Medium,4.9,Easy,Fair,Male,Australia,Food Chemistry, Food Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
information systems,23,College,Low,3.8,Easy,Fair,Male,UK,Data Warehousing and Business Intelligence, Data Warehousing and Business Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Systems
international relations,29,College,High,4.0,Medium,Good,Male,US,International Security Studies, International Security Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
sports science,24,College,High,4.7,Medium,Fair,Male,Canada,Exercise and Health Promotion, Exercise and Health Promotion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports Science
data science,19,College,Low,4.2,Easy,Good,Male,Canada,Feature Engineering, Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
logistics and supply chain management,19,College,Low,3.8,Easy,Fair,Female,Canada,Demand Forecasting and Planning, Demand Forecasting and Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistics and Supply Chain Management
hospitality management,24,College,High,3.8,Medium,Fair,Female,India,Front Office Operations, Front Office Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospitality Management
communications technology,23,College,High,4.8,Medium,Good,Female,US,Web Development and Design, Web Development and Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communications Technology
food science,26,High School,High,4.8,Medium,Good,Male,UK,Food Product Development, Food Product Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
social work,27,College,Medium,4.1,Medium,Good,Female,Australia,Community Engagement and Health, Community Engagement and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Work
education,19,High School,High,4.6,Easy,Fair,Female,US,Education,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education
management,24,High School,Low,3.9,Medium,Good,Male,India,Innovation and Entrepreneurship, Innovation and Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
finance,25,College,Medium,3.5,Medium,Good,Female,UK,Risk Management and Insurance, Risk Management and Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance
management,21,College,Low,4.6,Medium,Good,Female,India,Knowledge Management, Knowledge Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management
food science,25,College,High,4.7,Medium,Fair,Male,Canada,Food Safety and Quality Assurance, Food Safety and Quality Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
linguistics,26,College,High,3.5,Medium,Fair,Female,Australia,Sociolinguistic Variation, Sociolinguistic Variation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
performing arts,19,High School,High,4.0,Easy,Good,Male,Canada,Media Psychology, Media Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Performing Arts
journalism,24,College,High,3.5,Medium,Good,Male,US,Media Law and Regulations, Media Law and Regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism
legal studies,26,High School,High,4.3,Easy,Fair,Male,India,Environmental Law, Environmental Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
agriculture,19,College,High,3.9,Medium,Fair,Female,Australia,Crop Production and Management, Crop Production and Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
legal studies,19,College,Low,3.7,Medium,Fair,Female,Australia,Contract Law, Contract Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
environmental science,19,High School,Low,3.5,Easy,Fair,Female,Australia,Environmental Science,Environmental Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Science
anthropology,24,High School,High,4.4,Easy,Good,Male,UK,Ethnography, Ethnography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
international relations,24,High School,Medium,4.9,Medium,Good,Female,India,Global Governance, Global Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Relations
visual arts,23,College,Low,3.8,Medium,Fair,Male,UK,Visual Arts Education, Visual Arts Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
anthropology,24,High School,Medium,3.9,Easy,Good,Male,India,Anthropological Theory, Anthropological Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthropology
legal studies,25,College,High,4.6,Easy,Fair,Male,UK,Property Law, Property Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legal Studies
gender studies,27,College,Medium,4.1,Medium,Good,Male,UK,Gender and Sexuality, Gender and Sexuality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Studies
linguistics,27,College,High,4.7,Easy,Fair,Male,Canada,Language Acquisition, Language Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linguistics
geology,19,High School,Low,4.0,Medium,Fair,Female,India,Environmental Geology, Environmental Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geology
early childhood education,21,College,Low,4.1,Medium,Fair,Female,UK,Pre-writing and Pre-reading Skills, Pre-writing and Pre-reading Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Childhood Education
visual arts,27,High School,Medium,4.4,Medium,Good,Male,India,Collage, Collage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visual Arts
health and wellness,18,College,High,4.1,Easy,Good,Female,US,Aging and Gerontology, Aging and Gerontology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health and Wellness
international business,26,College,Medium,4.5,Easy,Good,Male,Canada,International Trade and Globalization, International Trade and Globalization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Business
food science,29,High School,Medium,3.7,Easy,Fair,Male,India,Food Toxicology, Food Toxicology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Science
data science,23,High School,Medium,3.7,Easy,Fair,Male,India,Feature Engineering, Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
data science,19,College,High,4.1,Medium,Good,Male,Australia,Feature Engineering, Feature Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Science
